,NAME,LAT,LONG,CR1003I,CR1003V,CR1005V,CR1007V,CR1008V,CR1010V,CR1015V,CR2001V,CR2009V,CR2010I,CR2011I,DE1001V,DE1002V,DE1003I,DE1003V,DE1025I,DE1025V,DE1026V,DE1027V,DE1028I,DE1028V,DE1029V,DE1030V,DE1040I,DE1040V,DE1041V,DE1042V,DE1046I,DE1046V,DE1047V,DE1048V,DE1049I,DE1049V,DE1050V,DE1051V,DE1055I,DE1055V,DE1056V,DE1057I,DE1057V,DE1058I,DE1058V,DE1059I,DE1059V,DE1060I,DE1060V,DE1061I,DE1061V,DE1062V,DE1063V,DE1064I,DE1064V,DE1065V,DE1066V,DE1073I,DE1073V,DE1074V,DE1075V,DE1076I,DE1076V,DE1077V,DE1078V,DE1079V,DE1084I,DE1085I,DE2001I,DE2001V,DE2002I,DE2002V,DE2003I,DE2003V,DE2007I,DE2008I,DE2008V,DE2009I,DE2009V,DE2010V,DE2011V,DE2012V,DE3001V,DE3002I,DE3002V,DE3004I,DE3005I,DE3005V,DE3008I,DE3008V,DE3011I,DE3011V,DE3016I,DE3017V,EC1001I,EC1001V,EC1002I,EC1002V,EC1003I,EC1003V,EC1010V,EC1011I,EC1011V,EC1012I,EC1012V,EC1020I,EC1145V,EC1146V,EC1147V,EC1174V,EC1175V,EC1176V,EC1177V,EC1178V,EC1179V,EC1180V,EC1181V,EC1182V,EC2008V,EC2009V,EC2020V,EC2021V,EC2022V,EC2032V,EC2033V,EC2034V,EC2035V,EC2036V,EC2037V,EC2038V,EC3039V,EC3040V,EC3064V,EC3065V,EN1002V,EN1003V,EN1004V,EN1005V,EN2002V,EN2003V,EN2005V,EN2025V,EN2026V,EN2027V,EN3003V,EN3010V,EN3011V,EN3012V,EN3013V,EN4008V,EN5200V,EN5201V,EN5202V,EN5203V,EN5204V,EN5205V,EN5206V,EN5207V,SA1001V,SA1004V,SA1005V,SA1007I,SA1007V,SA1008I,SA1008V,SA1012V,SA1025V,SA1029V,SA1050V,SA1051V,SA2004I,SA2004V,SA2007I,SA2007V,SA2013V,SA2016V,SA2017V,SA2018V,SA2019V,SA2020V,SA2021V,SA2029I,SA3005V,TE1001I,TE1001V,TE1026I,TE1026V,TE1027V,TE1028V,TE1039V,TE1040V,TE1041V,TE2025V,TE2028I,TE2028V,TE2031I,TE2031V,TT1057I,TT1057V,TT1060I,TT1060V,TT1064V,TT1065V,TT1079V,TT1080V,TT1081V
0,Berlin,13.40732,52.52045,14.0,50170.0,9126793.0,15791060.0,36.0,85.0,95.0,22359470.0,121056.0,35.0,6.0,3460725.0,1695438.0,104.1,1765287.0,11.6,403112.0,195311.0,207801.0,11.5,396375.0,185422.0,210953.0,4.5,157280.0,80757.0,76523.0,3.9,134897.0,68809.0,66088.0,6.8,234412.0,113956.0,120456.0,7.6,264707.0,95431.0,177.4,169276.0,54.5,541843.0,25.0,271991.0,29.5,269852.0,0.5,512821.0,266302.0,246519.0,15.8,547059.0,279922.0,267137.0,15.7,42.5,135703.0,69691.0,14.8,66012.0,132516.0,67846.0,64670.0,3.9,3.8,86.0,2988274.0,4.0,133200.0,9.0,317900.0,14.0,87.0,3002900.0,13.0,457800.0,185000.0,439400.0,494391.0,1995000.0,54.0,1074600.0,2.0,5.0,99300.0,14.0,276900.0,16.0,317100.0,31.0,3459000.0,60.0,1806400.0,64.0,951500.0,55.0,854900.0,218200.0,13.0,125800.0,11.0,92400.0,12.0,272100.0,139200.0,132900.0,1779400.0,937400.0,842000.0,1566500.0,814600.0,751900.0,234300.0,117500.0,116800.0,500.0,138500.0,1636100.0,166117.0,79000.0,351500.0,87400.0,39100.0,37300.0,296800.0,466500.0,139500.0,19200.0,24500.0,57.0,21.0,5.4,18.6,-0.5,568.1,15.0,0.0,31.5,3769.0,25.0,24.5,191900000.0,2.17,100.0,100.0,99.6,1426.08,5.35,29.28,13.73,10.0,0.59,14.85,5.97,20.22,1871782.0,191976.0,1679806.0,18.0,368600.0,81.0,1614300.0,250662.0,7492.692307692308,334.8,300000.0,126000.0,3.0,107.0,10.0,33075.0,1434.0,6111.0,4008.0,2103.0,31380.0,15015.0,16365.0,9.0,127.0,576.0,90600.0,45.0,154032.0,78597.0,75435.0,9.0,11.0,7.0,317100.0,48.0,958200.0,36.0,731400.0,290.25,1004470.0,0.16,54.0,248325.0,147392.0,1448.0,74.0,11.0
1,Hamburg,10.007046,53.576158,11.0,18912.0,4251187.0,1699043.0,24.0,37.0,25.0,9455140.0,47165.0,26.0,5.0,1786448.0,873712.0,104.5,912736.0,10.6,189802.0,92045.0,97757.0,10.5,186957.0,87433.0,99524.0,4.5,81083.0,41758.0,39325.0,4.4,78234.0,39781.0,38453.0,6.4,114046.0,55231.0,58815.0,8.3,149160.0,53549.0,178.5,95611.0,56.3,284896.0,26.9,140425.0,29.4,144471.0,0.7,288411.0,151435.0,136976.0,14.9,265818.0,136254.0,129564.0,15.9,41.3,73879.0,37705.0,16.1,36174.0,74162.0,38096.0,36066.0,4.1,4.2,86.0,1544341.0,4.0,74700.0,9.0,167400.0,14.0,78.0,1394800.0,22.0,391600.0,140400.0,251200.0,247345.0,130387.09677419355,46.0,491600.0,2.0,4.290322580645161,46200.0,14.021505376344086,140800.0,17.892473118279568,167100.0,28.0,1781300.0,60.0,938500.0,65.0,494800.0,55.0,443700.0,51500.0,6.0,28900.0,5.0,22600.0,5.0,118600.0,60700.0,57900.0,921000.0,483600.0,437400.0,871300.0,455900.0,415400.0,113300.0,58400.0,54900.0,2700.0,116700.0,1105500.0,105645.0,40000.0,302100.0,58800.0,53100.0,17800.0,214000.0,236700.0,63600.0,22700.0,29200.0,54.0,15.0,4.5,17.2,1.4,715.8,9.0,0.0,26.3,2460.0,22.5,25.6,94335300.0,1.64,100.0,100.0,99.2,802.92,9.77,19.29,10.89,11.9,0.99,12.18,27.43,7.55,907863.0,181944.0,725919.0,26.365591397849464,28468.817204301075,73.12903225806451,101426.8817204301,95668.0,7492.692307692308,2875.0,420000.0,156100.0,4.0,69.0,10.0,17125.0,593.0,2953.0,1917.0,1036.0,17060.0,7981.0,9079.0,10.0,61.0,493.0,40000.0,39.0,70134.0,36845.0,33289.0,9.0,9.0,8.0,153400.0,52.0,539700.0,32.0,326300.0,328.29,586475.0,0.19,34.0,315362.0,98706.0,1600.0,58.0,12.0
2,München,11.544467,48.152126,11.0,14989.0,4448931.0,5755246.0,17.0,71.0,17.0,11738112.0,57887.0,43.0,9.0,1353186.0,655997.0,106.3,697189.0,10.7,145133.0,67147.0,77986.0,10.3,139677.0,63276.0,76401.0,4.9,66007.0,33682.0,32325.0,3.9,52322.0,26628.0,25694.0,6.9,93804.0,45016.0,48788.0,7.4,100198.0,35601.0,181.4,64597.0,52.1,244850.0,25.2,119771.0,27.0,125079.0,1.7,220131.0,117153.0,102978.0,13.7,185643.0,93836.0,91807.0,18.1,39.9,54298.0,27890.0,16.3,26408.0,51123.0,25997.0,25126.0,4.0,3.8,76.0,1034894.0,10.0,131200.0,14.0,187100.0,25.0,73.0,990400.0,27.0,362800.0,149600.0,213200.0,333505.0,754700.0,52.0,393900.0,2.0,3.0,25900.0,13.0,96500.0,16.0,121600.0,21.0,1346300.0,62.0,728000.0,67.0,380100.0,57.0,347900.0,35400.0,5.0,19100.0,5.0,16300.0,5.0,97800.0,48900.0,48900.0,706300.0,368700.0,337600.0,673500.0,350900.0,322600.0,92200.0,45900.0,46300.0,2000.0,111500.0,940600.0,96329.0,24000.0,171000.0,66600.0,62900.0,15000.0,207100.0,218600.0,61800.0,25400.0,33400.0,50.0,12.0,5.8,20.0,1.0,972.3,10.0,1.0,11.5,3714.0,27.7,21.1,84764300.0,1.58,100.0,100.0,99.9,569.07,9.0,27.11,13.92,10.85,2.15,14.14,17.57,5.25,755440.0,91354.0,664086.0,13.0,97700.0,87.0,653800.0,434.0,7492.692307692308,3052.0,810000.0,217000.0,3.0,50.0,11.0,14854.0,421.0,1877.0,1145.0,732.0,10624.0,4957.0,5667.0,8.0,29.0,465.0,30700.0,77.0,103856.0,55148.0,48708.0,7.0,8.0,6.0,102500.0,44.0,348300.0,45.0,355300.0,353.71,478637.0,0.13,18.0,325204.0,135291.0,942.0,46.4,12.0
3,Köln,6.934628,50.94718,9.0,8719.0,2293683.0,1972367.0,12.0,71.0,14.0,4970056.0,28753.0,29.0,5.0,1007119.0,487419.0,106.6,519700.0,10.8,108325.0,51433.0,56892.0,10.2,102453.0,48459.0,53994.0,4.7,47372.0,24397.0,22975.0,4.5,44838.0,22995.0,21843.0,6.7,67254.0,31402.0,35852.0,8.0,80946.0,30542.0,165.0,50404.0,55.8,162608.0,27.4,78151.0,28.4,84457.0,0.9,157066.0,80273.0,76793.0,15.0,151068.0,76310.0,74758.0,16.1,41.0,42127.0,21472.0,15.6,20655.0,43062.0,21985.0,21077.0,4.2,4.3,84.0,844325.0,6.0,55600.0,11.0,107200.0,16.0,76.0,767900.0,24.0,239200.0,66700.0,151700.0,166116.0,130387.09677419355,46.0,271200.0,2.0,4.290322580645161,19500.0,14.021505376344086,69100.0,17.892473118279568,92100.0,21.0,997600.0,58.0,509400.0,65.0,271500.0,52.0,237900.0,38900.0,9.0,24100.0,6.0,14900.0,8.0,64200.0,34500.0,29600.0,498100.0,265300.0,232800.0,461100.0,242400.0,218700.0,59200.0,31500.0,27700.0,500.0,68800.0,647200.0,58804.0,22000.0,147000.0,44500.0,45500.0,8300.0,126800.0,149800.0,33900.0,21600.0,27500.0,54.0,20.0,4.8,18.8,3.7,749.9,15.5,0.0,14.0,2350.0,30.6,22.2,69356700.0,1.61,100.0,100.0,99.8,511.93,9.34,14.05,11.25,15.2,1.26,14.04,20.61,14.25,541616.0,91933.0,449683.0,26.365591397849464,28468.817204301075,73.12903225806451,101426.8817204301,41642.0,7492.692307692308,4250.0,480000.0,154000.0,4.0,37.0,10.0,10192.0,339.0,1613.0,1004.0,609.0,9243.0,4420.0,4823.0,9.0,63.0,448.0,21200.0,81.0,81652.0,40629.0,41023.0,9.0,11.0,7.0,119400.0,48.0,277500.0,34.0,196500.0,354.29,356815.0,0.32,32.0,228993.0,100626.0,500.0,78.2,10.9
4,Frankfurt am Main,8.584764,50.041821,14.0,9420.0,1738976.0,1799037.0,11.0,32.0,13.0,6383889.0,37876.0,56.0,9.0,679664.0,333129.0,104.0,346535.0,11.3,77084.0,37719.0,39365.0,9.3,63402.0,30136.0,33266.0,5.0,34138.0,17363.0,16775.0,3.9,26322.0,13508.0,12814.0,5.7,38946.0,18640.0,20306.0,7.8,52676.0,19515.0,169.9,33161.0,51.9,114094.0,26.0,55283.0,25.9,58811.0,1.2,111747.0,58659.0,53088.0,15.5,105569.0,53882.0,51687.0,16.8,41.1,28968.0,14827.0,16.4,14141.0,26718.0,13597.0,13121.0,4.3,3.9,79.0,537606.0,8.0,52000.0,13.0,90100.0,22.0,69.0,465800.0,31.0,213900.0,71900.0,133700.0,148077.0,371600.0,52.0,193200.0,2.0,3.0,12600.0,13.0,49500.0,18.0,65700.0,19.0,678500.0,58.0,343200.0,64.0,183100.0,53.0,160100.0,21200.0,7.0,12300.0,6.0,8900.0,6.0,45000.0,23900.0,21100.0,335700.0,179100.0,156600.0,315900.0,167500.0,148400.0,41900.0,21900.0,19900.0,700.0,38700.0,628000.0,42399.0,17200.0,159000.0,35800.0,77600.0,14000.0,142700.0,110800.0,31400.0,24200.0,32000.0,52.0,16.0,5.4,19.4,2.6,506.7,14.0,0.0,15.0,3535.0,33.9,21.8,42852000.0,2.01,100.0,100.0,99.7,287.88,9.45,10.48,11.61,15.87,1.46,12.55,21.52,17.06,366541.0,45055.0,321486.0,14.0,51000.0,86.0,319100.0,11062.385714285714,3600.0,334.8,580000.0,157500.0,3.0,26.0,11.0,7574.0,177.0,1002.0,611.0,391.0,5640.0,2611.0,3029.0,8.0,38.0,463.0,15800.0,80.0,54354.0,25164.0,29190.0,9.0,9.75,7.0,64700.0,44.0,179400.0,40.0,162300.0,319.87,217402.0,0.28,19.0,327970.0,71088.0,221.12345679012347,78.5,11.0
5,Essen,7.019603,51.468739,16.0,9074.0,988508.0,1681807.0,4.0,63.0,10.0,1302511.0,8232.0,14.0,2.0,574635.0,276429.0,107.9,298206.0,12.7,73135.0,35552.0,37583.0,11.7,67188.0,30809.0,36379.0,4.1,23367.0,11904.0,11463.0,5.0,28928.0,14682.0,14246.0,6.2,35477.0,17295.0,18182.0,10.5,60442.0,21891.0,176.1,38551.0,66.0,71322.0,29.1,35459.0,36.9,35863.0,-0.3,77894.0,39620.0,38274.0,15.4,88320.0,44264.0,44056.0,12.4,44.7,23102.0,11776.0,13.6,11326.0,25460.0,13177.0,12283.0,4.0,4.4,88.0,505372.0,3.0,18000.0,9.0,51200.0,12.0,82.0,472600.0,18.0,102000.0,25900.0,63600.0,70381.0,299900.0,45.0,134900.0,2.0,4.0,11800.0,16.0,48100.0,18.0,52600.0,22.0,567600.0,54.0,271300.0,62.0,148000.0,47.0,123300.0,26400.0,11.0,16800.0,8.0,9600.0,10.0,43700.0,24200.0,19400.0,264800.0,144400.0,120400.0,239800.0,128500.0,111300.0,40100.0,22000.0,18100.0,400.0,31200.0,301900.0,23819.0,16700.0,66400.0,13700.0,8200.0,4900.0,65200.0,77400.0,17700.0,21900.0,27400.0,59.0,20.0,4.9,17.6,2.7,875.5,16.0,0.0,39.0,2352.0,33.1,29.8,34495000.0,1.88,100.0,100.0,99.6,258.55,7.84,24.09,14.57,8.99,0.79,14.99,16.32,12.42,309127.0,58305.0,250822.0,19.0,57000.0,81.0,244300.0,22064.0,17830.0,122.0,475000.0,112000.0,5.0,23.0,8.0,4603.0,307.0,1219.0,760.0,459.0,7221.0,3394.0,3827.0,13.0,30.0,407.0,9500.0,114.0,65295.0,33698.0,31597.0,11.0,9.75,7.0,59400.0,57.0,175900.0,26.0,82000.0,399.17,229376.0,0.23,13.0,113313.0,69131.0,210.0,61.1,12.0
6,Stuttgart,9.188624,48.802275,19.0,11297.0,2075697.0,2150832.0,14.0,25.0,16.0,2901374.0,17240.0,28.0,5.0,606588.0,301128.0,101.4,305460.0,10.8,65713.0,32429.0,33284.0,10.3,62280.0,29445.0,32835.0,4.4,26625.0,13613.0,13012.0,4.2,25474.0,13058.0,12416.0,6.7,40431.0,19892.0,20539.0,8.5,51699.0,19140.0,170.1,32559.0,54.6,98639.0,25.6,49220.0,29.1,49419.0,0.8,96904.0,51216.0,45688.0,14.9,90581.0,48298.0,42283.0,16.3,41.3,23876.0,12258.0,16.0,11618.0,24366.0,12559.0,11807.0,3.9,4.0,77.0,469985.0,3.849462365591398,11690.322580645161,7.822916666666667,23879.166666666668,23.0,72.0,435900.0,28.0,170700.0,76100.0,94600.0,138832.0,316400.0,48.0,152100.0,2.0,3.0,11000.0,14.0,44600.0,19.0,59400.0,19.0,601600.0,56.0,298000.0,61.0,159800.0,51.0,138200.0,15400.0,5.0,8700.0,5.0,6700.0,5.0,41800.0,22400.0,19400.0,289500.0,155400.0,134100.0,275200.0,147400.0,127800.0,39800.0,21300.0,18500.0,1300.0,59600.0,458000.0,32886.0,15500.0,75600.0,24100.0,33200.0,4900.0,95000.0,114600.0,34300.0,24600.0,31200.0,54.0,16.0,5.7,19.8,2.0,600.5,15.0,0.0,15.0,3699.0,31.1,21.3,36616300.0,2.34,100.0,100.0,99.9,262.17,8.6,15.75,11.31,8.99,0.31,12.94,16.43,25.67,302740.0,47907.0,254833.0,17.0,54500.0,83.0,262900.0,11062.385714285714,7492.692307692308,334.8,690000.0,171500.0,4.0,24.0,9.0,5667.0,181.0,778.0,492.0,286.0,5053.0,2254.0,2799.0,8.0,17.0,485.0,12900.0,62.0,37710.0,23401.0,14309.0,5.0,9.75,7.0,54000.0,42.0,146500.0,40.0,140600.0,346.45,210152.0,0.23,14.0,211114.0,70004.0,160.0,71.5,12.2
7,Leipzig,12.404024,51.341053,14.0,7144.0,1188738.0,1081442.0,7.0,17.0,15.0,2135782.0,13013.0,25.0,4.0,522883.0,253533.0,106.2,269350.0,11.4,59406.0,28732.0,30674.0,12.7,66280.0,29790.0,36490.0,4.7,24328.0,12442.0,11886.0,2.9,15116.0,7463.0,7653.0,7.8,40786.0,19196.0,21590.0,9.7,50887.0,17671.0,188.0,33216.0,58.0,87988.0,22.6,44778.0,35.4,43210.0,0.8,69208.0,37261.0,31947.0,14.1,73493.0,38161.0,35332.0,16.8,43.0,19379.0,9938.0,13.2,9441.0,16012.0,8101.0,7911.0,3.7,3.1,94.0,492686.0,3.849462365591398,11690.322580645161,7.822916666666667,23879.166666666668,6.0,91.0,473400.0,9.0,49500.0,10300.0,42200.0,31900.0,306400.0,53.0,163400.0,2.0,4.0,13600.0,12.0,37400.0,15.0,45900.0,30.0,518200.0,58.0,269300.0,64.0,141900.0,53.0,127400.0,31800.0,13.0,18500.0,10.0,13200.0,12.0,39800.0,19800.0,20000.0,264300.0,139200.0,125100.0,233300.0,121000.0,112200.0,34500.0,17000.0,17600.0,300.0,25400.0,288400.0,24380.0,14600.0,59700.0,23000.0,9500.0,5000.0,66100.0,69000.0,15800.0,16700.0,20800.0,56.0,27.0,5.7,18.7,0.3,552.0,13.5,0.0,23.0,3700.0,20.0,21.6,22480700.0,1.82,100.0,100.0,98.9,189.92,5.11,14.75,12.99,7.68,2.29,15.3,37.59,4.31,328662.0,33962.0,294700.0,14.0,41500.0,86.0,263600.0,11062.385714285714,25000.0,334.8,225000.0,84000.0,2.0,9.0,10.0,5490.0,229.0,896.0,598.0,298.0,5667.0,2580.0,3087.0,11.0,15.0,563.0,13700.0,68.0,35559.0,16546.0,19013.0,5.0,9.75,7.0,15400.0,56.0,162200.0,38.0,109900.0,332.59,173905.0,0.15,8.0,85626.0,47380.0,392.0,55.2,9.65
8,Dresden,13.731021,51.055604,20.0,10693.0,1668255.0,3145569.0,7.0,24.0,11.0,3798341.0,19794.0,38.0,7.0,523058.0,256539.0,103.9,266519.0,10.8,56365.0,26702.0,29663.0,12.5,65631.0,29994.0,35637.0,5.1,26547.0,13508.0,13039.0,2.9,15140.0,7476.0,7664.0,8.9,46382.0,23184.0,23198.0,9.5,49665.0,18058.0,175.0,31607.0,59.4,89214.0,24.3,46735.0,35.1,42479.0,1.2,67823.0,36536.0,31287.0,13.1,68298.0,34856.0,33442.0,17.1,41.5,20945.0,10712.0,13.0,10233.0,17048.0,8778.0,8270.0,4.0,3.3,95.0,498366.0,3.849462365591398,11690.322580645161,7.822916666666667,23879.166666666668,5.0,92.0,478800.0,8.0,44300.0,13700.0,29900.0,25624.0,292400.0,50.0,147100.0,2.0,4.0,11500.0,13.0,37200.0,16.0,47900.0,24.0,515500.0,60.0,273100.0,64.0,143500.0,55.0,129500.0,23800.0,10.0,13700.0,8.0,10100.0,9.0,40400.0,20000.0,20400.0,268200.0,140900.0,127300.0,244900.0,127500.0,117400.0,36400.0,17800.0,18500.0,600.0,32900.0,294800.0,24256.0,15200.0,63200.0,10700.0,7100.0,4400.0,56600.0,85600.0,18400.0,18700.0,22700.0,55.0,20.0,5.8,18.7,-0.6,678.6,11.0,0.0,25.0,3651.0,24.2,21.6,29830300.0,2.14,100.0,100.0,99.0,172.87,4.705783132530121,16.130843373493974,10.985180722891567,7.569036144578313,1.3790361445783135,8.032530120481926,30.269277108433734,20.92734939759036,294164.0,35762.0,258402.0,12.0,34800.0,88.0,257500.0,8097.0,24603.0,237.0,290000.0,94500.0,3.0,20.0,11.0,5907.0,162.0,727.0,490.0,237.0,4772.0,2230.0,2542.0,9.0,9.0,603.0,16000.0,81.0,42355.0,24751.0,17604.0,3.0,9.75,7.0,10800.0,51.0,143400.0,44.0,124800.0,344.76,180331.0,0.15,8.0,86033.0,45667.0,381.0,50.5,10.4
9,Dortmund,7.479247,51.507849,9.0,4995.0,833183.0,435402.0,1.0,22.0,20.0,931389.0,5703.0,10.0,2.0,580444.0,284695.0,103.9,295749.0,12.3,71584.0,35298.0,36286.0,11.2,64911.0,30135.0,34776.0,4.1,23873.0,12173.0,11700.0,5.2,29930.0,15255.0,14675.0,6.5,37505.0,18765.0,18740.0,9.7,56232.0,20843.0,169.8,35389.0,64.2,74215.0,29.9,37714.0,34.3,36501.0,-0.1,79908.0,41371.0,38537.0,15.6,90295.0,46339.0,43956.0,12.8,43.7,24696.0,12733.0,13.8,11963.0,27295.0,14069.0,13226.0,4.3,4.7,84.0,488893.0,4.0,25500.0,11.0,66000.0,16.0,79.0,455800.0,21.0,124600.0,56100.0,68500.0,92725.0,304400.0,46.0,139000.0,2.0,4.0,13000.0,14.0,43300.0,18.0,55400.0,23.0,577900.0,54.0,274200.0,62.0,152100.0,47.0,122100.0,28300.0,12.0,17600.0,9.0,10700.0,10.0,41000.0,23200.0,17900.0,267900.0,148600.0,119300.0,241000.0,131800.0,109200.0,37000.0,20600.0,16400.0,300.0,30600.0,294600.0,22762.0,15200.0,81900.0,10100.0,12500.0,3100.0,47700.0,77200.0,16000.0,20100.0,25000.0,61.0,24.0,4.9,17.7,3.0,774.0,10.0,0.0,32.0,2179.0,29.7,26.5,35476300.0,1.68,100.0,100.0,99.6,260.89,2.46,25.37,13.44,9.94,1.95,8.04,25.69,13.1,309490.0,68946.0,240544.0,22.0,65600.0,79.0,239800.0,28068.0,7811.0,116.0,410000.0,119000.0,6.0,26.0,8.0,4669.0,304.0,1251.0,817.0,434.0,6752.0,3284.0,3468.0,12.0,24.0,436.0,10400.0,67.0,39108.0,22082.0,17026.0,13.0,9.75,7.0,63500.0,59.0,185900.0,23.0,71900.0,404.66,234884.0,0.16,9.0,91520.0,65117.0,646.0,61.1,9.6
