indic_ur,cities\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
TE1001I,AT	: 	: 	: 	: 	: 	508 	492 	: 	: 	: 	291 	278 	262 	254 	248 	367 	: 	: 	354 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,AT001C1	: 	: 	: 	: 	: 	613 	592 	: 	: 	: 	331 	324 	305 	298 	298 	453 	: 	: 	78 	: 	: 	: 	: 	380 	: 	: 	: 	: 	327 	: 
TE1001I,AT002C1	: 	: 	: 	: 	: 	489 	463 	: 	: 	: 	273 	269 	261 	259 	261 	407 	: 	: 	424 	: 	: 	: 	: 	: 	: 	: 	: 	: 	228 	: 
TE1001I,AT003C1	: 	: 	: 	: 	: 	499 	493 	: 	: 	: 	320 	302 	296 	292 	296 	465 	: 	: 	468 	: 	: 	: 	: 	: 	: 	: 	: 	: 	310 	: 
TE1001I,AT004C1	: 	: 	: 	: 	: 	534 	505 	: 	: 	: 	308 	303 	282 	297 	300 	448 	: 	: 	459 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,AT005C1	: 	: 	: 	: 	: 	573 	571 	: 	: 	: 	371 	357 	349 	329 	328 	423 	: 	: 	416 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,AT006C1	: 	: 	: 	: 	: 	572 	553 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	222 	: 	165 	160 	155 	153 	148 	140 	138 	135 	130 	122 	113 	104 	: 
TE1001I,BE001C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	249 	237 	242 	249 	249 	262 	: 	: 	: 	: 	: 	: 	: 	182 	: 	: 	: 	: 	: 	: 
TE1001I,BE002C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	170 	172 	173 	172 	167 	165 	: 	: 	: 	: 	: 	: 	: 	111 	: 	: 	: 	: 	: 	: 
TE1001I,BE003C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	307 	316 	325 	312 	302 	293 	: 	: 	: 	: 	: 	: 	: 	188 	: 	: 	: 	: 	: 	: 
TE1001I,BE004C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	142 	145 	136 	134 	122 	127 	: 	: 	: 	: 	: 	: 	: 	52 	: 	: 	: 	: 	: 	: 
TE1001I,BE005C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	178 	181 	174 	172 	167 	274 	: 	: 	180 	: 	: 	: 	: 	162 	: 	: 	: 	: 	: 	: 
TE1001I,BE006C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	360 	378 	342 	317 	307 	275 	: 	: 	: 	: 	: 	: 	: 	116 	: 	: 	: 	: 	: 	: 
TE1001I,BE007C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	314 	283 	283 	277 	247 	518 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,BG	: 	426 d	424 d	416 d	408 d	420 	424 	424 	385 	376 	375 	370 	366 	358 	348 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TE1001I,BG001C1	444 d	456 d	479 d	495 d	460 d	450 	442 	447 	445 	396 	382 e	377 e	379 e	383 e	366 e	80 	: 	: 	81 p	: 	: 	: 	: 	: u	: 	: 	: 	: u	: 	: 
TE1001I,BG002C1	403 d	407 d	395 d	377 d	390 d	407 	431 	434 	428 	369 	410 e	343 e	329 e	329 e	331 e	85 	: 	: 	86 p	: 	: 	: 	: 	129 	: 	: 	: 	135 	: 	: 
TE1001I,BG003C1	469 d	456 d	449 d	440 d	437 d	444 	432 	423 	407 	358 	342 e	355 e	366 e	362 e	357 e	100 	: 	: 	95 p	: 	: 	: 	: 	110 	: 	: 	: 	89 	: 	: 
TE1001I,BG004C1	481 d	480 d	503 d	453 d	458 d	457 	475 	479 	458 	426 	390 e	395 e	389 e	381 e	374 e	77 	: 	: 	79 p	: 	: 	: 	: 	108 	: 	: 	: 	91 	: 	: 
TE1001I,BG005C1	609 d	558 d	560 d	553 d	545 d	564 	561 	589 	587 	516 	530 e	498 e	505 e	516 e	482 e	151 	: 	: 	155 p	: 	: 	: 	: 	220 	: 	: 	: 	183 	: 	: 
TE1001I,BG006C1	446 d	451 d	469 d	445 d	426 d	437 	464 	479 	453 	411 	398 e	414 e	406 e	391 e	383 e	93 	: 	: 	108 p	: 	: 	: 	: 	155 	: 	: 	: 	119 	: 	: 
