indic_ur,cities\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 
EN1002V,AT001C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.30 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EN1002V,AT002C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.13 	: 	: 	5.76 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EN1002V,AT003C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.86 	: 	: 	4.66 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EN1002V,AT004C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.60 	: 	: 	4.79 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EN1002V,AT005C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.25 	: 	: 	4.63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EN1002V,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.40 	4.10 	4.00 	3.80 	4.40 	3.60 	4.70 	4.30 	4.50 	4.20 	3.90 	4.10 	4.60 	: 	: 
EN1002V,BE001C1	: 	: 	: 	: 	: 	: 	: 	: 	5.00 	: 	: 	4.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.25 	: 
EN1002V,BE002C1	: 	: 	: 	: 	: 	: 	: 	: 	5.00 	: 	: 	4.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.44 	: 
EN1002V,BE003C1	: 	: 	: 	: 	: 	: 	: 	: 	5.00 	: 	: 	5.15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.45 	: 
EN1002V,BE004C1	: 	: 	: 	: 	: 	: 	: 	: 	5.00 	: 	: 	3.31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.19 	: 
