indic_ur,cities\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
SA2004I,AT	: 	: 	: 	: 	: 	3 	3 	: 	: 	: 	: c	: c	: c	: c	: c	: c	: 	4 	: c	5 	4 	5 	5 	5 	5 	6 	: 	: 	: 	: 
SA2004I,AT001C1	: 	: 	: 	: 	: 	5 	5 	: 	: 	: 	: c	: c	: c	: c	: c	: c	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
SA2004I,AT002C1	: 	: 	: 	: 	: 	5 	2 	: 	: 	: 	: c	: c	: c	: c	: c	: c	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
SA2004I,AT003C1	: 	: 	: 	: 	: 	2 	2 	: 	: 	: 	: c	: c	: c	: c	: c	: c	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
SA2004I,AT004C1	: 	: 	: 	: 	: 	5 	2 	: 	: 	: 	: c	: c	: c	: c	: c	: c	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
SA2004I,AT005C1	: 	: 	: 	: 	: 	2 	5 	: 	: 	: 	: c	: c	: c	: c	: c	: c	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
SA2004I,AT006C1	: 	: 	: 	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
SA2004I,BE	4 	4 	4 	3 	3 	3 	3 	: 	3 	4 	: 	4 	: 	: 	: 	5 	: 	: 	: 	: 	: 	: 	6 	5 	6 	8 	8 	8 	: 	: 
SA2004I,BE001C1	4 	4 	4 	3 	3 	3 	2 	: 	3 	3 	: 	4 	: 	: 	: 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
SA2004I,BE002C1	4 	5 	3 	4 	2 	4 	5 	: 	4 	4 	: 	5 	: 	: 	: 	15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
SA2004I,BE003C1	4 	4 	6 	4 	5 	4 	5 	: 	3 	4 	: 	5 	: 	: 	: 	30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
SA2004I,BE004C1	5 	4 	3 	5 	5 	5 	6 	: 	3 	7 	: 	3 	: 	: 	: 	28 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
SA2004I,BE005C1	3 	5 	4 	3 	4 	4 	4 	: 	3 	4 	: 	3 	: 	: 	: 	16 	: 	: 	17 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
SA2004I,BE006C1	3 	4 	3 	1 	5 	3 	1 	: 	1 	4 	: 	0 	: 	: 	: 	35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
SA2004I,BE007C1	4 	6 	5 	6 	1 	3 	7 	: 	2 	2 	: 	3 	: 	: 	: 	18 	: 	: 	20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
SA2004I,BE008C1	2 	1 	2 	3 	3 	3 	0 	: 	4 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
SA2004I,BE009C1	5 	4 	0 	2 	3 	4 	6 	: 	1 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
SA2004I,BE010C1	4 	2 	4 	4 	7 	3 	3 	: 	1 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
