indic_ur,cities\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 
DE3001V,AT	: 	: 	: 	: 	: 	: 	3762160 	3724613 	: 	: 	: 	3598300 	: 	3537000 	3508400 	3475300 	3429347 b	: 	3347440 	3297883 	3264638 	3235354 	3196800 	3169517 	3157789 	3119131 	: 	: 	: 	: 	: 	: 
DE3001V,AT001C1	: 	: 	: 	: 	: 	: 	865157 	857036 	: 	: 	: 	838400 	: 	823500 	815700 	807500 	793784 b	: 	: 	788176 p	: 	: 	: 	: 	773222 	: 	: 	: 	: 	746760 	: 	: 
DE3001V,AT002C1	: 	: 	: 	: 	: 	: 	135193 	133103 	: 	: 	: 	: 	: 	: 	: 	: 	: bc	: 	: 	110059 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	105563 	: 	: 
DE3001V,AT003C1	: 	: 	: 	: 	: 	: 	103131 	102017 	: 	: 	: 	: 	: 	: 	: 	: 	: bc	: 	: 	91709 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	89599 	: 	: 
DE3001V,AT004C1	: 	: 	: 	: 	: 	: 	72536 	72377 	: 	: 	: 	: 	: 	: 	: 	: 	: bc	: 	: 	68570 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,AT005C1	: 	: 	: 	: 	: 	: 	64126 	63087 	: 	: 	: 	: 	: 	: 	: 	: 	: bc	: 	: 	53903 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,AT006C1	: 	: 	: 	: 	: 	: 	49440 	48943 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,BE	: 	4957462 	4920327 	4887631 	4880743 	4846888 	4815908 	4798625 	: 	4703506 	4656376 	4612914 	4569519 	4523391 	4481808 	4439652 	4402307 	4361885 	4113695 	4294074 	4237775 	4232631 	4166987 	4135820 	4122452 	4067079 	4044103 	4025671 	3968701 	3889802 	: 	: 
DE3001V,BE001C1	: 	556520 	552539 	550128 	567481 	558396 	555024 	556550 	: 	531866 	519018 	512125 	507455 	500249 	495993 	491357 	489203 	: 	: 	473248 	: 	: 	467860 	: 	: 	: 	: 	: 	: 	460091 	: 	: 
DE3001V,BE002C1	: 	235737 	234663 	234321 	234822 	236017 	236515 	237270 	: 	230194 	226910 	225424 	224470 	222432 	221677 	220391 	220046 	: 	: 	218127 	: 	: 	217437 	: 	: 	: 	: 	: 	: 	220150 	: 	: 
DE3001V,BE003C1	: 	120496 	119721 	119617 	119029 	117739 	117279 	116850 	: 	117091 	116161 	114843 	113847 	112661 	111556 	110346 	109271 	: 	: 	105450 	: 	: 	105271 	: 	: 	: 	: 	: 	: 	102916 	: 	: 
DE3001V,BE004C1	: 	91462 	91293 	91239 	92060 	92171 	92854 	94213 	: 	95068 	95402 	95399 	95417 	95666 	95504 	95486 	94403 	: 	: 	91888 	: 	: 	92348 	: 	: 	: 	: 	: 	: 	89842 	: 	: 
DE3001V,BE005C1	: 	182423 	182704 	183321 	184235 	184629 	185364 	185626 	: 	184151 	183113 	181974 	181636 	180500 	179040 	177505 	176545 	: 	: 	172038 	: 	: 	96080 	: 	: 	: 	: 	: 	: 	96290 	: 	: 
DE3001V,BE006C1	: 	54570 	54291 	53912 	53745 	53450 	53095 	52854 	: 	52271 	52075 	52033 	51767 	51412 	51363 	51058 	50678 	: 	: 	49608 	: 	: 	48252 	: 	: 	: 	: 	: 	: 	46723 	: 	: 
DE3001V,BE007C1	: 	51349 	51121 	50719 	50833 	50698 	50816 	50804 	: 	50140 	49907 	49583 	49009 	48650 	48265 	47797 	47124 	: 	: 	45316 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,BE008C1	: 	50423 	50403 	49634 	48917 	48252 	48333 	48315 	: 	47909 	47415 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,BE009C1	: 	45381 	45221 	45086 	44763 	45365 	45762 	45489 	: 	44365 	44157 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,BE010C1	: 	33460 	33143 	32807 	32886 	32919 	32797 	32831 	: 	32508 	32758 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,BE011C1	: 	36541 	36548 	36439 	36357 	36324 	36158 	35921 	: 	35577 	35151 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,BG	: 	: 	3136293 	3250779 	3226839 	3269313 	: 	3256322 e	: 	3005589 d	2850152 e	2615936 	2710192 e	2599605 	2623820 	2618358 	: 	: 	2740965 	2789438 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,BG001C1	: 	: 	568618 	581632 	572278 	585425 	: 	544075 e	490217 e	538362 d	461889 e	422609 e	437956 e	359421 e	428077 e	371472 e	: 	: 	: 	430186 	: 	: 	: 	: 	: 	: 	: 	: 	433250 	: 	: 	: 
DE3001V,BG002C1	: 	: 	157744 	160902 	158087 	162267 	: 	151624 e	136899 e	137804 d	137766 e	97626 e	130596 e	100768 e	91324 e	104366 e	: 	: 	: 	121747 	: 	: 	: 	: 	: 	: 	: 	: 	116773 	: 	: 	: 
DE3001V,BG003C1	: 	: 	154508 	158063 	155840 	160747 	: 	149683 e	135700 e	141448 d	127011 e	125672 e	119750 e	78158 e	92449 e	95882 e	: 	: 	: 	117863 	: 	: 	: 	: 	: 	: 	: 	: 	112653 	: 	: 	: 
DE3001V,BG004C1	: 	: 	92442 	94885 	93857 	94347 	: 	88695 e	80632 e	82807 d	76491 e	70058 e	70850 e	70693 e	72894 e	68367 e	: 	: 	: 	70198 	: 	: 	: 	: 	: 	: 	: 	: 	69189 	: 	: 	: 
DE3001V,BG005C1	: 	: 	42588 	45094 	43918 	44246 	: 	43189 e	39675 e	44732 d	39065 e	33902 e	37047 e	42014 e	35103 e	32142 e	: 	: 	: 	43767 	: 	: 	: 	: 	: 	: 	: 	: 	44476 	: 	: 	: 
DE3001V,BG006C1	: 	: 	66420 	68441 	67982 	70386 	: 	66090 e	60428 e	64094 d	61935 e	55250 e	59027 e	53530 e	51433 e	61352 e	: 	: 	: 	60629 	: 	: 	: 	: 	: 	: 	: 	: 	61827 	: 	: 	: 
DE3001V,BG007C1	: 	: 	18095 	18749 	18739 	19705 	: 	20376 e	17904 e	19640 d	17814 e	12351 e	17219 e	16721 e	12956 e	13860 e	: 	: 	: 	19932 	: 	: 	: 	: 	: 	: 	: 	: 	20563 	: 	: 	: 
DE3001V,BG008C1	: 	: 	62044 	63862 	63112 	65270 	: 	61157 e	55347 e	56698 	55251 e	46214 	52600 e	33849 	43109 	54286 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,BG009C1	: 	: 	38268 	40237 	38989 	38877 	: 	37573 e	34268 e	35827 d	32962 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,BG010C1	: 	: 	37172 	39406 	38333 	38381 	: 	37303 e	34093 e	35867 d	32645 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,BG011C1	: 	: 	33360 	35469 	34449 	34386 	: 	33376 e	30333 e	34578 d	30546 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,BG012C1	: 	: 	32517 	34317 	33349 	33439 	: 	32624 e	29924 e	32681 d	27855 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,BG013C1	: 	: 	30388 	32171 	31289 	31367 	: 	30368 e	27587 e	29918 d	27134 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,BG014C1	: 	: 	31233 	32966 	32016 	32132 	: 	31330 e	28477 e	28890 d	27087 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,BG015C1	: 	: 	29834 	31461 	30465 	30380 	: 	29352 e	26657 e	27680 d	26254 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,BG016C1	: 	: 	29067 	30305 	30170 	29900 	: 	30555 e	26242 e	30274 d	25260 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,BG017C1	: 	: 	29115 	29629 	28981 	29397 	: 	30071 e	25845 e	31983 d	24043 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,BG018C1	: 	: 	21985 	23088 	23233 	23847 	: 	24953 e	21903 e	24858 d	21623 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,CH	: 	: 	: 	: 	3631351 	3584789 	3540641 b	3488738 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3175554 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2841850 	: 
DE3001V,CH001C1	: 	: 	197395 	194622 	192171 	189212 	187132 b	186765 b	: 	: 	: 	: 	: 	: 	: 	: 	221903 	: 	: 	: 	192094 	: 	: 	: 	: 	: 	: 	: 	: 	: 	189296 	: 
DE3001V,CH001K1	: 	: 	317143 	313401 	308941 	293293 	289543 b	287673 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,CH002C1	: 	: 	90478 	90079 	88695 	87893 	88754 b	89371 b	: 	: 	: 	: 	: 	: 	: 	: 	99413 	: 	: 	: 	92489 	: 	: 	: 	: 	: 	: 	: 	: 	: 	85702 	: 
DE3001V,CH002K1	: 	: 	170132 	168195 	164218 	151565 	152533 b	153305 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	319600 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,CH003C1	: 	: 	86204 	86428 	86295 	86466 	86510 b	86085 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	88484 	: 	: 	: 	: 	: 	: 	: 	: 	: 	90999 	: 
DE3001V,CH003K1	: 	: 	164111 	163823 	162811 	153815 	153452 b	152803 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,CH004C1	: 	: 	63112 	62498 	62519 	61899 	62167 b	63491 b	: 	: 	: 	: 	: 	: 	: 	: 	84974 	: 	: 	: 	69708 	: 	: 	: 	: 	: 	: 	: 	: 	: 	69182 	: 
DE3001V,CH004K1	: 	: 	106003 	105020 	104663 	103437 	103356 b	104281 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,CH005C1	: 	: 	68388 	67913 	66950 	66288 	65886 b	64856 b	: 	: 	: 	: 	: 	: 	: 	: 	79943 	: 	: 	: 	63654 	: 	: 	: 	: 	: 	: 	: 	: 	: 	63580 	: 
DE3001V,CH005K1	: 	: 	116923 	115788 	114033 	106804 	106003 b	104568 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,CH006C1	: 	: 	50335 	49878 	49367 	: 	48279 b	46407 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	41961 	: 	: 	: 	: 	: 	: 	: 	: 	: 	38543 	: 
DE3001V,CH007C1	: 	: 	36838 	36616 	36230 	36238 	35936 b	35706 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	35830 	: 	: 	: 	: 	: 	: 	: 	: 	: 	35190 	: 
DE3001V,CH008C1	: 	: 	41021 	41212 	41271 	41283 	41038 b	40532 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37910 	: 	: 	: 	: 	: 	: 	: 	: 	: 	35809 	: 
DE3001V,CH008K1	: 	: 	75755 	75525 	75104 	74794 	74176 b	73139 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,CH009C2	: 	: 	30733 	30792 	30610 	30581 	29857 b	29372 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24161 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21314 	: 
DE3001V,CH009K1	: 	: 	42205 	42200 	41945 	39663 	38814 b	38173 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,CH010C1	: 	: 	: 	: 	: 	: 	24466 b	23253 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24695 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25701 	: 
DE3001V,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	303242 	: 	: 	: 	: 	: 	: 	238800 	: 	: 	223790 	: 	: 	: 	: 	: 	: 	: 	: 	185459 	: 	: 	: 
DE3001V,CY001C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	90397 	: 	: 	: 	: 	: 	: 	72200 	: 	: 	67137 	: 	: 	: 	: 	59147 	: 	: 	: 	55059 	: 	: 	: 
DE3001V,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	4375122 	: 	: 	: 	: 	: 	: 	: 	: 	3962118 	4216085 	3850192 	3817249 	3803527 	3786505 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,CZ001C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	571621 	: 	: 	: 	: 	: 	: 	: 	: 	: 	544577 	: 	: 	: 	: 	: 	: 	: 	: 	: 	538331 	: 	: 
DE3001V,CZ002C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	172260 	: 	: 	: 	: 	: 	: 	: 	: 	: 	166287 	: 	: 	: 	: 	: 	: 	: 	: 	: 	162993 	: 	: 
DE3001V,CZ003C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	132610 	: 	: 	: 	: 	: 	: 	: 	: 	: 	140173 	: 	: 	: 	: 	: 	: 	: 	: 	: 	132584 	: 	: 
DE3001V,CZ004C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	76987 	: 	: 	: 	: 	: 	: 	: 	: 	: 	75326 	: 	: 	: 	: 	: 	: 	: 	: 	: 	72412 	: 	: 
DE3001V,CZ005C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	41389 	: 	: 	: 	: 	: 	: 	: 	: 	: 	43066 	: 	: 	: 	: 	: 	: 	: 	: 	: 	39992 	: 	: 
DE3001V,CZ006C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	45034 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE3001V,CZ007C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	44964 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
