indic_ur,cities\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
DE2001I,AT	: 	: 	: 	: 	: 	: 	87 	88 	: 	: 	: 	90 	90 	90 	90 	91 	91 	: 	: 	91 	92 	92 	91 	91 	91 	91 	91 	: 	: 	93 	: 
DE2001I,AT001C1	: 	: 	: 	: 	: 	: 	76 	77 	: 	: 	: 	80 	81 	81 	82 	82 	83 	: 	: 	84 	: 	: 	: 	: 	: 	: 	: 	: 	: 	87 	: 
DE2001I,AT002C1	: 	: 	: 	: 	: 	: 	83 	84 	: 	: 	: 	86 	86 	87 	87 	88 	88 	: 	: 	91 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,AT003C1	: 	: 	: 	: 	: 	: 	83 	84 	: 	: 	: 	86 	86 	87 	87 	87 	87 	: 	: 	88 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,AT004C1	: 	: 	: 	: 	: 	: 	78 	79 	: 	: 	: 	80 	80 	81 	81 	81 	80 	: 	: 	81 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,AT005C1	: 	: 	: 	: 	: 	: 	80 	82 	: 	: 	: 	85 	85 	86 	86 	87 	86 	: 	: 	87 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,AT006C1	: 	: 	: 	: 	: 	: 	88 	88 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,BE	: 	88 	88 	88 	88 	88 	89 	89 	89 	89 	90 	91 	91 	91 	91 	92 	92 	: 	92 	92 	92 	92 	91 	91 	91 	91 	91 	91 	91 	91 	: 
DE2001I,BE001C1	: 	65 	65 	65 	65 	65 	66 	66 	66 	67 	70 	71 	72 	73 	73 	74 	74 	: 	: 	74 	: 	: 	: 	: 	70 	: 	: 	: 	: 	: 	: 
DE2001I,BE002C1	: 	79 	79 	79 	79 	80 	80 	80 	81 	82 	84 	84 	85 	86 	87 	88 	88 	: 	: 	89 	: 	: 	: 	: 	87 	: 	: 	: 	: 	89 	: 
DE2001I,BE003C1	: 	85 	86 	86 	86 	86 	87 	87 	87 	88 	89 	90 	91 	92 	92 	93 	93 	: 	: 	94 	: 	: 	: 	: 	92 	: 	: 	: 	: 	93 	: 
DE2001I,BE004C1	: 	85 	85 	85 	85 	85 	85 	84 	85 	85 	85 	86 	86 	86 	86 	86 	86 	: 	: 	86 	: 	: 	: 	: 	83 	: 	: 	: 	: 	82 	: 
DE2001I,BE005C1	: 	83 	83 	83 	83 	83 	83 	83 	83 	83 	84 	84 	84 	84 	84 	84 	84 	: 	: 	43 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,BE006C1	: 	94 	94 	94 	95 	95 	95 	95 	96 	96 	97 	97 	97 	97 	97 	98 	98 	: 	: 	98 	: 	: 	: 	: 	98 	: 	: 	: 	: 	98 	: 
DE2001I,BE007C1	: 	91 	92 	92 	92 	92 	92 	92 	92 	93 	93 	94 	94 	94 	94 	95 	95 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,BE008C1	: 	81 	82 	83 	83 	83 	84 	84 	84 	84 	86 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,BE009C1	: 	84 	85 	85 	85 	85 	85 	85 	85 	85 	85 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,BE010C1	: 	92 	92 	93 	93 	93 	93 	93 	93 	94 	94 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,BE011C1	: 	89 	90 	90 	91 	91 	92 	92 	93 	93 	94 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,BG	: 	: 	99 	99 	99 	99 	99 e	99 e	99 e	: 	: 	100 	100 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,BG001C1	: 	98 	98 	98 	98 	98 	99 e	99 e	99 e	: 	: 	99 e	99 e	: e	: 	: 	: 	: 	: 	99 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,BG002C1	: 	99 	99 	99 	99 	99 	99 e	99 e	99 e	99 e	99 e	99 e	99 e	: e	: 	: 	: 	: 	: 	99 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,BG003C1	: 	98 	98 	98 	98 	98 	99 e	99 e	99 e	99 e	100 e	100 e	100 e	: e	: 	: 	: 	: 	: 	99 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,BG004C1	: 	98 	98 	99 	99 	99 	99 e	99 e	99 e	99 e	100 e	100 e	100 e	: e	: 	: 	: 	: 	: 	100 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,BG005C1	: 	99 	99 	99 	99 	99 	99 e	99 e	99 e	98 e	99 e	99 e	99 e	: e	: 	: 	: 	: 	: 	99 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,BG006C1	: 	99 	99 	99 	99 	99 	99 e	99 e	99 e	99 e	99 e	100 e	100 e	: e	: 	: 	: 	: 	: 	100 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,BG007C1	: 	99 	100 	100 	100 	100 	100 e	100 e	100 e	98 e	99 e	100 e	100 e	: e	: 	: 	: 	: 	: 	100 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,BG008C1	: 	98 	99 	99 	99 	99 	99 e	99 e	99 e	99 e	99 	100 	100 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,BG009C1	: 	99 	99 	99 	99 	99 	100 e	100 e	100 e	99 e	: e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,BG010C1	: 	99 	99 	99 	99 	99 	100 e	100 e	100 e	99 e	: e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,BG011C1	: 	98 	99 	99 	99 	99 	99 e	99 e	99 e	99 e	: e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,BG012C1	: 	99 	99 	100 	100 	100 	100 e	100 e	100 e	98 e	: e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,BG013C1	: 	99 	99 	99 	99 	100 	100 e	100 e	100 e	98 e	: e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,BG014C1	: 	99 	99 	99 	99 	99 	100 e	100 e	100 e	99 e	: e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,BG015C1	: 	99 	99 	99 	99 	99 	99 e	100 e	100 e	99 e	: e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,BG016C1	: 	98 	98 	98 	98 	98 	98 e	98 e	99 e	98 e	: e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DE2001I,BG017C1	: 	99 	99 	99 	99 	99 	99 e	99 e	99 e	99 e	: e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
