indic_ur,cities\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
CR1003I,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9 	9 	: 	: 	: 	: 	: 	: 	: 
CR1003I,AT001C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19 	: 	: 	24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,AT002C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	34 	: 	: 	35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,AT003C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17 	: 	: 	: 	17 	: 	: 	23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,AT004C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25 	: 	: 	: 	25 	: 	: 	25 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,AT005C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	31 	: 	: 	: 	32 	: 	: 	33 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11 	11 	10 	11 	11 	10 	10 	10 	10 	10 	9 	9 	: 
CR1003I,BE001C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	13 	: 	: 	15 	: 	: 	: 	15 	: 	17 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BE002C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	25 	: 	: 	26 	: 	: 	: 	27 	: 	28 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BE003C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	19 	: 	: 	19 	: 	: 	: 	20 	: 	22 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BE004C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	18 	: 	: 	19 	: 	: 	: 	21 	: 	29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BE005C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	21 	: 	: 	25 	: 	: 	: 	28 	: 	23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BE006C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	16 	: 	: 	16 	: 	: 	: 	5 	: 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BE007C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	40 	: 	: 	45 	: 	: 	: 	47 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BE008C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BE009C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	43 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BE010C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	39 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BE011C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	38 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BG	: 	: 	6 	6 	5 	5 	5 e	4 e	4 e	4 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9 	10 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BG001C1	: 	15 	15 	16 	14 	16 	16 e	15 e	13 e	14 e	: 	15 e	: 	: 	: 	: 	: 	15 	: 	: 	9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BG002C1	: 	6 	10 	11 	11 	8 	8 e	9 e	9 e	7 e	: 	8 e	: 	: 	: 	: 	: 	9 	: 	: 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BG003C1	: 	20 	13 	13 	13 	12 	10 e	10 e	10 e	11 e	: 	: 	: 	: 	: 	: 	: 	7 	: 	: 	9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BG004C1	: 	8 	8 	8 	8 	8 	14 e	8 e	8 e	2 e	: 	: 	: 	: 	: 	: 	: 	8 	: 	: 	14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BG005C1	: 	5 	5 	7 	5 	5 	5 e	1 e	1 e	1 e	: 	0 e	: 	: 	: 	: 	: 	9 	: 	: 	20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BG006C1	: 	13 	13 	13 	13 	13 	13 e	13 e	14 e	16 e	: 	0 e	: 	: 	: 	: 	: 	3 	: 	: 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BG007C1	: 	3 	3 	3 	3 	3 	3 e	0 e	0 e	0 e	: 	0 e	: 	: 	: 	: 	: 	13 	: 	: 	12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BG008C1	: 	17 	17 	16 	17 	16 	16 e	16 e	17 e	16 e	: 	10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BG009C1	: 	2 	1 	1 	1 	1 	1 e	1 e	1 e	2 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BG010C1	: 	1 	1 	1 	1 	1 	1 e	1 e	1 e	1 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BG011C1	: 	5 	5 	5 	3 	3 	3 e	0 e	0 e	8 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BG012C1	: 	0 	0 	0 	0 	0 	0 e	0 e	0 e	0 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BG013C1	: 	1 	1 	1 	1 	1 	1 e	1 e	1 e	1 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BG014C1	: 	2 	2 	2 	2 	2 	2 e	7 e	8 e	2 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BG015C1	: 	8 	0 	1 	0 	0 	0 e	0 e	0 e	0 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BG016C1	: 	3 	3 	3 	3 	3 	3 e	3 e	3 e	5 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BG017C1	: 	4 	4 	4 	8 	4 	4 e	4 e	4 e	4 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BG018C1	: 	3 	3 	3 	0 	0 	0 e	0 e	0 e	1 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,CH	: 	: 	: 	: 	: 	: 	13 	13 	13 	14 b	14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,CH001C1	: 	: 	25 	26 	26 	: 	28 	28 	28 	29 b	29 	29 	30 	30 	27 	37 	27 	: 	: 	: 	28 	: 	: 	: 	25 	: 	: 	: 	: 	: 	: 
CR1003I,CH001K1	: 	: 	20 	20 	20 	: 	: 	22 	23 	23 b	24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,CH002C1	: 	: 	13 	12 	18 	: 	31 	32 	34 	36 b	36 	39 	44 	44 	47 	55 	51 	: 	: 	: 	67 	: 	: 	: 	46 	: 	: 	: 	: 	: 	: 
