indic_ur,cities\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 
TT1003V,AT001C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	41.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	41.44 	: 	: 
TT1003V,AT002C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	61.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 	55.68 	: 	: 
TT1003V,AT003C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	64.87 	: 	: 	: 	: 	: 	: 	: 	: 	: 	55.59 	: 	: 
TT1003V,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	67.00 	: 	: 	77.78 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	63.09 	: 	: 
TT1003V,BE001C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	48.50 	: 	: 	47.46 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	53.45 	: 	: 
TT1003V,BE002C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	56.25 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	54.65 	: 	: 
TT1003V,BE003C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	64.97 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	56.23 	: 	: 
TT1003V,BE004C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	86.14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	66.98 	: 	: 
TT1003V,BE005C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	81.54 	: 	: 	82.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	62.57 	: 	: 
TT1003V,BE006C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	59.42 	: 	: 	62.63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	52.54 	: 	: 
TT1003V,BE007C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	75.82 	: 	: 	73.45 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
