CODE,NAME
AT001C1,Wien
AT002C1,Graz
AT003C1,Linz
AT004C1,Salzburg
AT005C1,Innsbruck
AT006C1,Klagenfurt
BE001C1,Bruxelles / Brussel
BE002C1,Antwerpen
BE003C1,Gent
BE004C1,Charleroi
BE005C1,Liège
BE006C1,Brugge
BE007C1,Namur
BE008C1,Leuven
BE009C1,Mons
BE010C1,Kortrijk
BE011C1,Oostende
BG001C1,Sofia
BG002C1,Plovdiv
BG003C1,Varna
BG004C1,Burgas
BG005C1,Pleven
BG006C1,Ruse
BG007C1,Vidin
BG008C1,Stara Zagora
BG009C1,Sliven
BG010C1,Dobrich
BG011C1,Shumen
BG012C1,Pernik
BG013C1,Yambol
BG014C1,Haskovo
BG015C1,Pazardzhik
BG016C1,Blagoevgrad
BG017C1,Veliko Tarnovo
BG018C1,Vratsa
CH001C1,Zürich
CH001K1,Zürich
CH002C1,Genève
CH002K1,Genève
CH003C1,Basel
CH003K1,Basel
CH004C1,Bern
CH004K1,Bern
CH005C1,Lausanne
CH005K1,Lausanne
CH006C1,Winterthur
CH007C1,St. Gallen
CH008C1,Luzern
CH008K1,Luzern
CH009C2,Lugano
CH009K1,Lugano
CH010C1,Biel/Bienne
CY001C1,Lefkosia
CY501C1,Lemesos
CZ001C1,Praha
CZ002C1,Brno
CZ003C1,Ostrava
CZ004C1,Plzeň
CZ005C1,Ústí nad Labem
CZ006C1,Olomouc
CZ007C1,Liberec
CZ008C1,České Budějovice
CZ009C1,Hradec Králové
CZ010C1,Pardubice
CZ011C1,Zlín
CZ012C1,Kladno
CZ013C1,Karlovy Vary
CZ014C1,Jihlava
CZ015C1,Havířov
CZ016C1,Most
CZ017C1,Karviná
CZ018C2,Chomutov-Jirkov
DE001C1,Berlin
DE002C1,Hamburg
DE003C1,München
DE004C1,Köln
DE005C1,Frankfurt am Main
DE006C1,Essen
DE007C1,Stuttgart
DE008C1,Leipzig
DE009C1,Dresden
DE010C1,Dortmund
DE011C1,Düsseldorf
DE012C1,Bremen
DE013C1,Hannover
DE014C1,Nürnberg
DE015C1,Bochum
DE017C1,Bielefeld
DE018C1,Halle an der Saale
DE019C1,Magdeburg
DE020C1,Wiesbaden
DE021C1,Göttingen
DE022C1,Mülheim a.d.Ruhr
DE023C1,Moers
DE025C1,Darmstadt
DE026C1,Trier
DE027C1,Freiburg im Breisgau
DE028C1,Regensburg
DE029C1,Frankfurt (Oder)
DE030C1,Weimar
DE031C1,Schwerin
DE032C1,Erfurt
DE033C1,Augsburg
DE034C1,Bonn
DE035C1,Karlsruhe
DE036C1,Mönchengladbach
DE037C1,Mainz
DE039C1,Kiel
DE040C1,Saarbrücken
DE041C1,Potsdam
DE042C1,Koblenz
DE043C1,Rostock
DE044C1,Kaiserslautern
DE045C1,Iserlohn
DE046C1,Esslingen am Neckar
DE047C1,Hanau
DE048C1,Wilhelmshaven
DE049C1,Ludwigsburg
DE050C1,Tübingen
DE051C1,Villingen-Schwenningen
DE052C1,Flensburg
DE053C1,Marburg
DE054C1,Konstanz
DE055C1,Neumünster
DE056C1,Brandenburg an der Havel
DE057C1,Gießen
DE058C1,Lüneburg
DE059C1,Bayreuth
DE060C1,Celle
DE061C1,Aschaffenburg
DE062C1,Bamberg
DE063C1,Plauen
DE064C1,Neubrandenburg
DE065C1,Fulda
DE066C1,Kempten (Allgäu)
DE067C1,Landshut
DE068C1,Sindelfingen
DE069C1,Rosenheim
DE070C1,Frankenthal (Pfalz)
DE071C1,Stralsund
DE072C1,Friedrichshafen
DE073C1,Offenburg
DE074C1,Görlitz
DE075C1,Sankt Augustin
DE076C1,Neu-Ulm
DE077C1,Schweinfurt
DE078C1,Greifswald
DE079C1,Wetzlar
DE080C1,Speyer
DE081C1,Passau
DE082C1,Dessau-Roßlau
DE501C1,Duisburg
DE502C1,Mannheim
DE503C1,Gelsenkirchen
DE504C1,Münster
DE505C1,Chemnitz
DE506C1,Braunschweig
DE507C1,Aachen
DE508C1,Krefeld
DE509C1,Oberhausen
DE510C1,Lübeck
DE511C1,Hagen
DE513C1,Kassel
DE514C1,Hamm
DE515C1,Herne
DE516C1,Solingen
DE517C1,Osnabrück
DE518C1,Ludwigshafen am Rhein
DE519C1,Leverkusen
DE520C1,Oldenburg (Oldenburg)
DE521C1,Neuss
DE522C1,Heidelberg
DE523C1,Paderborn
DE524C1,Würzburg
DE525C1,Recklinghausen
DE526C1,Wolfsburg
DE527C1,Bremerhaven
DE528C1,Bottrop
DE529C1,Heilbronn
DE530C1,Remscheid
DE531C1,Offenbach am Main
DE532C1,Ulm
DE533C1,Pforzheim
DE534C1,Ingolstadt
DE535C1,Gera
DE536C1,Salzgitter
DE537C1,Reutlingen
DE538C1,Fürth
DE539C1,Cottbus
DE540C1,Siegen
DE541C1,Bergisch Gladbach
DE542C1,Hildesheim
DE543C1,Witten
DE544C1,Zwickau
DE545C1,Erlangen
DE546C1,Wuppertal
DE547C1,Jena
DE548C1,"Düren, Stadt"
DE549C1,"Bocholt, Stadt"
DK001C1,København
DK001K2,København
DK002C1,Århus
DK003C1,Odense
DK004C2,Aalborg
EE001C1,Tallinn
EE002C1,Tartu
EE003C1,Narva
ES001C1,Madrid
ES001K1,Madrid
ES002C1,Barcelona
ES002K2,Barcelona
ES003C1,Valencia
ES003K1,Valencia
ES004C1,Sevilla
ES004K1,Sevilla
ES005C1,Zaragoza
ES006C1,Málaga
ES007C1,Murcia
ES008C1,Las Palmas
ES009C1,Valladolid
ES010C1,Palma de Mallorca
ES011C1,Santiago de Compostela
ES012C1,Vitoria/Gasteiz
ES013C1,Oviedo
ES014C1,Pamplona/Iruña
ES014K1,Pamplona/Iruña
ES015C1,Santander
ES016C1,Toledo
ES017C1,Badajoz
ES018C1,Logroño
ES019C1,Bilbao
ES019K1,Bilbao
ES020C1,Córdoba
ES021C1,Alicante/Alacant
ES022C1,Vigo
ES023C1,Gijón
ES024C1,L'Hospitalet de Llobregat
ES025C1,Santa Cruz de Tenerife
ES025K1,Santa Cruz de Tenerife
ES026C1,A Coruña
ES027C1,Barakaldo
ES028C1,Reus
ES029C1,Telde
ES030C1,Parla
ES031C1,Lugo
ES032C1,San Fernando
ES033C1,Girona
ES034C1,Cáceres
ES035C1,Torrevieja
ES036C1,Pozuelo de Alarcón
ES037C1,"Puerto de Santa María, El"
ES038C1,Coslada
ES039C1,Avilés
ES040C1,Talavera de la Reina
ES041C1,Palencia
ES042C1,Sant Boi de Llobregat
ES043C1,Ferrol
ES044C1,Pontevedra
ES045C1,Ceuta
ES046C1,Gandia
ES047C1,"Rozas de Madrid, Las"
ES048C1,Guadalajara
ES049C1,Sant Cugat del Vallès
ES050C1,Manresa
ES051C1,Getxo
ES052C1,Rubí
ES053C1,Ciudad Real
ES054C1,Benidorm
ES055C1,Melilla
ES056C1,Viladecans
ES057C1,Ponferrada
ES058C1,San Sebastián de los Reyes
ES059C1,Zamora
ES060C1,Fuengirola
ES061C1,Cerdanyola del Vallès
ES062C1,Sanlúcar de Barrameda
ES063C1,Vilanova i la Geltrú
ES064C1,"Prat de Llobregat, El"
ES065C1,"Línea de la Concepción, La"
ES066C1,Cornellà de Llobregat
ES067C1,Majadahonda
ES068C1,Torremolinos
ES069C1,Castelldefels
ES070C1,Irun
ES071C1,Granollers
ES072C1,Arrecife
ES073C1,Elda
ES073K1,Elda
ES074C1,Santa Lucía de Tirajana
ES075C1,Mollet del Vallès
ES501C1,Granada
ES501K1,Granada
ES503C1,Badalona
ES504C1,Móstoles
ES505C1,Elche/Elx
ES506C1,Cartagena
ES507C1,Sabadell
ES508C1,Jerez de la Frontera
ES509C1,Fuenlabrada
ES510C1,San Sebastián/Donostia
ES511C1,Alcalá de Henares
ES512C1,Terrassa
ES513C1,Leganés
ES514C1,Almería
ES515C1,Burgos
ES516C1,Salamanca
ES517C1,Alcorcón
ES518C1,Getafe
ES519C1,Albacete
ES520C1,Castellón de la Plana/Castelló de la Plana
ES521C1,Huelva
ES522C1,Cádiz
ES523C1,León
ES524C1,San Cristóbal de la Laguna
ES525C1,Tarragona
ES526C1,Santa Coloma de Gramenet
ES527C1,Jaén
ES528C1,Lleida
ES529C1,Ourense
ES530C1,Mataró
ES531C1,Dos Hermanas
ES532C1,Algeciras
ES533C1,Marbella
ES534C1,Torrejón de Ardoz
ES535C1,Alcobendas
ES536C1,Alcalá de Guadaíra
ES537C1,Alcoy
ES538C1,Ávila
ES539C1,Benalmádena
ES540C1,Chiclana de la Frontera
ES541C1,Collado Villalba
ES542C1,Cuenca
ES543C1,Eivissa
ES544C1,Linares
ES545C1,Lorca
ES546C1,Mérida
ES547C1,Sagunto
ES548C1,Torrelavega
ES549C1,Valdemoro
ES550C1,Puerto de la Cruz
ES550K1,Puerto de la Cruz
ES551C1,Paterna
ES552C1,Igualada
ES552K1,Igualada
ES553C1,Torrent
ES554C1,Mislata
ES555C1,Rivas-Vaciamadrid
ES556C1,Santurtzi
ES557C1,Esplugues de Llobregat
ES558C1,San Vicente del Raspeig/Sant Vicent del Raspeig
FI001C2,Helsinki / Helsingfors
FI001K2,Helsinki / Helsingfors
FI002C1,Tampere / Tammerfors
FI003C1,Turku / Åbo
FI004C3,Oulu / Uleåborg
FI005C1,Espoo / Esbo
FI006C1,Vantaa / Vanda
FI007C2,Lahti / Lahtis
FI008C3,Kuopio
FI009C1,Jyväskylä
FR001C1,Paris
FR001K1,Paris
FR003C2,Lyon
FR004C2,Toulouse
FR006C2,Strasbourg
FR007C1,Bordeaux
FR008C1,Nantes
FR009C1,Lille
FR010C1,Montpellier
FR011C1,Saint-Etienne
FR012C1,Le Havre
FR013C2,Rennes
FR014C2,Amiens
FR016C1,Nancy
FR017C2,Metz
FR018C1,Reims
FR019C1,Orléans
FR020C2,Dijon
FR021C2,Poitiers
FR022C2,Clermont-Ferrand
FR023C2,Caen
FR024C2,Limoges
FR025C1,Besançon
FR026C2,Grenoble
FR027C1,Ajaccio
FR028C1,Saint Denis
FR030C1,Fort-de-France
FR032C2,Toulon
FR034C2,Valenciennes
FR035C2,Tours
FR036C2,Angers
FR037C1,Brest
FR038C2,Le Mans
FR039C2,Avignon
FR040C2,Mulhouse
FR042C1,Dunkerque
FR043C2,Perpignan
FR044C2,Nîmes
FR045C2,Pau
FR046C2,Bayonne
FR047C2,Annemasse
FR048C1,Annecy
FR049C2,Lorient
FR050C2,Montbéliard
FR051C2,Troyes
FR052C2,Saint-Nazaire
FR053C1,La Rochelle
FR056C1,Angoulême
FR057C2,Boulogne-sur-Mer
FR058C2,Chambéry
FR059C2,Chalon-sur-Saône
FR060C2,Chartres
FR061C2,Niort
FR062C1,Calais
FR063C2,Béziers
FR064C2,Arras
FR065C2,Bourges
FR066C1,Saint-Brieuc
FR067C2,Quimper
FR068C2,Vannes
FR069C1,Cherbourg
FR073C2,Tarbes
FR074C2,Compiègne
FR076C2,Belfort
FR077C1,Roanne
FR079C2,Saint-Quentin
FR082C2,Beauvais
FR084C1,Creil
FR086C2,Evreux
FR090C2,Châteauroux
FR093C2,Brive-la-Gaillarde
FR096C2,Albi
FR099C1,Fréjus
FR104C2,Châlons-en-Champagne
FR201C1,Aubagne
FR202C1,Aix-en-Provence
FR203C1,Marseille
FR205C2,Nice
FR206C1,CA de Sophia-Antipolis
FR207C1,Lens - Liévin
FR208C1,Hénin - Carvin
FR209C2,Douai
FR210C1,Marne la Vallée
FR211C1,Versailles
FR212C1,CC de la Boucle de la Seine
FR213C1,Sénart en Essonne
FR214C1,Valence
FR215C2,Rouen
FR216C1,CA Marne et Chantereine
FR217C1,CA des deux Rives de la Seine
FR218C1,CC des Coteaux de la Seine
FR219C1,CA Europ' Essonne
FR220C1,CA Brie Francilienne
FR221C1,CA les Portes de l'Essonne
FR222C1,CA Val et Forêt
FR223C1,CC de l'Ouest de la Plaine de France
FR224C1,CA le Parisis
FR304C1,Melun
FR305C1,Meaux
FR306C1,Mantes en Yvelines
FR308C1,Evry
FR309C1,CA du Plateau de Saclay
FR310C1,CA de Seine Essonne
FR311C1,CA du Val d'Orge
FR312C1,CA du Val d'Yerres
FR313C1,CA Sénart - Val de Seine
FR322C1,CA Val de France
FR323C1,CA de la Vallée de Montmorency
FR324C1,Martigues
FR501C1,Argenteuil - Bezons
FR504C1,Cergy-Pontoise
FR505C1,Charleville-Mézières
FR506C1,Colmar
