CITY,LONG,LAT
Berlin,52.52045,13.40732
Hamburg,53.576158,10.007046
München,48.152126,11.544467
Köln,50.94718,6.934628
Frankfurt am Main,50.041821,8.584764
Essen,51.468739,7.019603
Stuttgart,48.802275,9.188624
Leipzig,51.341053,12.404024
Dresden,51.055604,13.731021
Dortmund,51.507849,7.479247
Düsseldorf,51.226297,6.801324
Bremen,53.09026,8.852958
Hannover,52.379952,9.787455
Nürnberg,49.446007,11.07977
Bochum,51.474951,7.213937
Bielefeld,52.018202,8.577806
Halle an der Saale,51.488623,11.976793
Magdeburg,52.125911,11.626831
Wiesbaden,50.067275,8.231418
Göttingen,51.543046,9.93664
Mülheim a.d.Ruhr,51.437117,6.894836
Moers,51.455116,6.63761
Darmstadt,49.872151,8.651994
Trier,49.750116,6.645776
Freiburg im Breisgau,47.998194,7.834283
Regensburg,49.021388,12.114729
Frankfurt (Oder),50.041821,8.584764
Weimar,50.985963,11.322062
Schwerin,53.633013,11.401311
Erfurt,50.982915,11.026063
Augsburg,48.369338,10.896842
Bonn,50.724104,7.114887
Karlsruhe,49.018533,8.368045
Mönchengladbach,51.1821,6.428687
Mainz,49.997895,8.253032
Kiel,54.322148,10.122597
Saarbrücken,49.234378,6.978198
Potsdam,52.414098,13.030564
Koblenz,50.355975,7.592158
Rostock,54.084592,12.088019
Kaiserslautern,49.439283,7.760953
Wilhelmshaven,53.536564,8.099767
Flensburg,54.780766,9.42001
Neumünster,54.070224,9.982761
Brandenburg an der Havel,52.421197,12.523106
Bayreuth,49.945412,11.584207
Aschaffenburg,49.976929,9.147466
Bamberg,49.895431,10.897137
Kempten (Allgäu),47.722046,10.318357
Landshut,48.533862,12.148372
Rosenheim,47.853616,12.116299
Schweinfurt,50.045714,10.223773
Speyer,49.319469,8.437615
Passau,48.571465,13.437462
Dessau-Roßlau,51.829379,12.2236
Duisburg,51.47994,6.75966
Mannheim,49.488789,8.492765
Gelsenkirchen,51.547434,7.07669
Münster,51.954044,7.624747
Chemnitz,50.83382,12.912219
Braunschweig,52.269203,10.531827
Aachen,50.774209,6.08443
Krefeld,51.337869,6.585484
Oberhausen,51.498071,6.862345
Lübeck,53.870029,10.68237
Hagen,51.371236,7.487553
Kassel,51.309934,9.47572
Hamm,51.674274,7.821892
Herne,51.540584,7.20971
Solingen,51.176385,7.070708
Osnabrück,52.274158,8.047347
Ludwigshafen am Rhein,49.475368,8.426544
Leverkusen,51.048254,7.029976
Oldenburg (Oldenburg),53.15846,8.210671
Neuss,51.197317,6.692426
Heidelberg,49.412388,8.681247
Paderborn,51.718539,8.740642
Würzburg,49.784984,9.941828
Recklinghausen,51.586044,7.214087
Wolfsburg,52.423458,10.759152
Bremerhaven,53.553611,8.589778
Bottrop,51.52873,6.943227
Heilbronn,49.142251,9.210942
Remscheid,51.180907,7.180644
Offenbach am Main,50.094538,8.777582
Ulm,48.396637,9.964547
Pforzheim,48.890549,8.688956
Ingolstadt,48.765164,11.438832
Gera,50.876279,12.08387
Salzgitter,52.12325,10.372852
Reutlingen,48.492368,9.205621
Fürth,49.480351,10.981111
Cottbus,51.762889,14.326664
Siegen,50.880516,8.036964
Bergisch Gladbach,50.987091,7.128724
Hildesheim,52.152573,9.94949
Witten,51.44147,7.344895
Zwickau,50.716316,12.487302
Erlangen,49.582771,10.991866
Wuppertal,51.265292,7.143049
Jena,50.920271,11.580264
